Procedure Name,Procedure Category,Visit Type Name,Visit Type Length,Department Name,Resource Name,Associated Blocks Available (all locations),OP Order Question Names,OP Order Question Prompts,OP Order Question Advised?,OP Order Question Override EDP?
MRA NECK W WO IV CONTRAST,IMG MRI ORDERABLES,MRA NECK WWO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSQ OP RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 6
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
HESS MRI 8
HESS MRI 9
KD MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSQ OP MRI 1
MSW MRI 1
MSW MRI 2
RA MRI 5
RA MRI 7
MSW MRI 3
BC MRI 1
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI",,"MSHS RIS MRI ALLERGY TO CONTRAST
DIAGNOSIS MRA/CTA WITHOUT CONTRAST
RENAL FUNCTION FOR MRA/CT
ABSOLUTE CONTRAINDICATIONS FOR MRA/MRI
RELATIVE/POTENTIAL CONTRAINDICATIONS FOR MRA/MRI","Does the patient have a known allergy to Gadolinium contrast?
Diagnosis
Renal Function
Absolute Contraindications
Relative/Potential Contraindications","Yes
Yes
Yes
Yes
Yes",
MRI BRAIN WO IV CONTRAST,IMG MRI ORDERABLES,MRI BRAIN WO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 4
RA MRI 5
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 7
MSQ OP MRI 1
RA MRI 6
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG NON CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",,,,
MRI BRAIN W IV CONTRAST,IMG MRI ORDERABLES,MRI BRAIN W,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
HESS MRI 10
RA MRI 5
RA MRI 6
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI BRAIN W WO IV CONTRAST,IMG MRI ORDERABLES,MRI BRAIN WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
RA MRI 5
RA MRI 6
RA MRI 7
MSQ OP MRI 1
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI CHEST WO IV CONTRAST,IMG MRI ORDERABLES,MRI CHEST WO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 6
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 5
MSW MRI 3
HESS MRI 10
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG NON CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",,,,
MRI CHEST W WO IV CONTRAST,IMG MRI ORDERABLES,MRI CHEST WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI
425 W 59TH ST RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 5
RA MRI 6
MSW MRI 3
HESS MRI 10
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI
BR MRI 1","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRA CHEST W WO IV CONTRAST,IMG MRI ORDERABLES,MRA CHEST WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSQ OP RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MRI 6
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
HESS MRI 8
HESS MRI 9
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSQ OP MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
HESS MRI 10
RA MRI 4
RA MRI 5
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI",,"MSHS RIS MRI ALLERGY TO CONTRAST
DIAGNOSIS MRA/CTA WITHOUT CONTRAST
RENAL FUNCTION FOR MRA/CT
ABSOLUTE CONTRAINDICATIONS FOR MRA/MRI
RELATIVE/POTENTIAL CONTRAINDICATIONS FOR MRA/MRI","Does the patient have a known allergy to Gadolinium contrast?
Diagnosis
Renal Function
Absolute Contraindications
Relative/Potential Contraindications","Yes
Yes
Yes
Yes
Yes",
MRI SPINE CERVICAL WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE CERVICAL WO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1470 MADISON AVE RAD MRI
1470 MADISON AVE RAD PET/CT
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
1176 5TH AVE RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
BMEII PET MR
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 5
RA MRI 6
RA MRI 7
MSQ OP MRI 1
MSW MRI 3
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG NON CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",,,,
MRI SPINE THORACIC WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE THORACIC WO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 5
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 6
RA MRI 7
MSQ OP MRI 1
MSW MRI 3
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG NON CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",,,,
MRI SPINE LUMBAR WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE LUMBAR WO,20,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 5
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 6
RA MRI 7
MSQ OP MRI 1
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG NON CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",,,,
MRI SPINE CERVICAL W WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE CERVICAL WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 7
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 5
RA MRI 6
MSQ OP MRI 1
MSW MRI 3
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI SPINE THORACIC W WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE THORACIC WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 7
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 5
RA MRI 6
MSQ OP MRI 1
MSW MRI 3
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI SPINE LUMBAR W WO IV CONTRAST,IMG MRI ORDERABLES,MRI SPINE LUMBAR WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 7
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
BMEII MRI 7T
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
MSW MRI 3
BC MRI 1
RA MRI 5
RA MRI 6
MSQ OP MRI 1
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRA PELVIS W WO IV CONTRAST,IMG MRI ORDERABLES,MRA PEL WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSQ OP RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MRI 6
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
HESS MRI 8
HESS MRI 9
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSQ OP MRI 1
MSW MRI 1
MSW MRI 2
RA MRI 4
RA MRI 5
MSW MRI 3
BC MRI 1
HESS MRI 10
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI",,"MSHS RIS MRI ALLERGY TO CONTRAST
DIAGNOSIS MRA/CTA WITHOUT CONTRAST
RENAL FUNCTION FOR MRA/CT
ABSOLUTE CONTRAINDICATIONS FOR MRA/MRI
RELATIVE/POTENTIAL CONTRAINDICATIONS FOR MRA/MRI","Does the patient have a known allergy to Gadolinium contrast?
Diagnosis
Renal Function
Absolute Contraindications
Relative/Potential Contraindications","Yes
Yes
Yes
Yes
Yes",
MRI BRACHIAL PLEXUS W IV CONTRAST,IMG MRI ORDERABLES,MRI BRACH PLEX W,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
1176 5TH AVE RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
HESS MRI 10
BMEII MRI 3T PRISMA
HESS MRI 8
HESS MRI 9
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
MSQ OP MRI 1
MSW MRI 3
BMEII MRI 12 SKYRA
RA MRI 2
RA MRI 4
RA MRI 5
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI BRACHIAL PLEXUS W WO IV CONTRAST,IMG MRI ORDERABLES,MRI BRACH PLEX WWO,40,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
425 W 59TH ST RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 2
RA MRI 4
RA MRI 5
HESS MRI 10
BMEII MRI 3T PRISMA
HESS MRI 8
KD MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
MSW MRI 3
BMEII MRI 12 SKYRA
BR MRI 1
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI TIBIA FIBULA LEFT W WO IV CONTRAST,IMG MRI ORDERABLES,MRI TIBIA FIB LEFT WWO,60,"1441 SOUTH AVE RAD MRI
10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
3131 KINGS HIGHWAY RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
787 11TH AVE RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
1470 MADISON AVE RAD MRI
MSQ IP RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","DOCSI MRI 1
MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
KD MRI 1
BR MRI 1
DOCCU MRI 1
JB MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 5
HESS MRI 8
HESS MRI 9
HESS MRI 10
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
MSW MRI 3
RA MRI 4
RA MRI 7
RA MRI 6
MSQ MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
MRI CHOLANGIOGRAM W WO IV CONTRAST,IMG MRI ORDERABLES,MRI CHOLANGIO WWO,40,"10 UNION SQ E RAD MRI
1090 AMST AVE RAD MRI
1176 5TH AVE RAD MRI
1470 MADISON AVE RAD MRI
425 W 59TH ST RAD MRI
5 CUBA HILL RAD MRI
MSB RAD MRI
MSBI RAD MRI
MSH RAD MRI
MSM RAD MRI
MSW RAD MRI
325 W 15TH ST RAD MRI
MSQ OP RAD MRI
3131 KINGS HIGHWAY RAD MRI
MSQ IP RAD MRI
1441 SOUTH AVE RAD MRI
787 11TH AVE RAD MRI
2020 WANTAGH AVE RAD MRI
MSSN RAD MRI
185 MERRICK ROAD RAD MRI","MSDUS MRI 1
MSDUS MRI 2
RA MORNINGSIDE MRI 1
RA MRI 7
BMEII MRI 12 SKYRA
BMEII MRI 3T PRISMA
HESS MRI 8
HESS MRI 9
BR MRI 1
DOCCU MRI 1
MSB IP MRI 1
MSBI MRI 1
MSH MRI 8
MSH MRI 9
MSM MRI 1
MSW MRI 1
MSW MRI 2
BC MRI 1
RA MRI 1
RA MRI 2
RA MRI 3
RA MRI 4
RA MRI 5
RA MRI 6
MSQ OP MRI 1
HESS MRI 10
MSW MRI 3
KD MRI 1
MSQ MRI 1
DOCSI MRI 1
JB MRI 1
DOCWA MRI 1
MSSN MRI
MSDOR MRI","IMG CONTRAST
IMG RESEARCH
IMG Peds
IMG Anesthesia",MSHS RIS MRI ALLERGY TO CONTRAST,Does the patient have a known allergy to Gadolinium contrast?,Yes,
